mercredi 25 mars 2020	17:52:18	Sampling Period : 50  ms		CL

t	Alpha [deg]	Position [cm]	X [pixel]	Y [pixel]	  	  	  	  
1915	3.867724E+0	-14.033579E+0	595.353111E+0	80.110227E+0
1916	5.763155E+0	-14.331817E+0	588.241296E+0	82.151838E+0
1917	7.708249E+0	-14.331817E+0	588.241296E+0	82.151838E+0
1918	9.064391E+0	-14.331817E+0	588.241296E+0	82.151838E+0
1919	10.988110E+0	-14.331817E+0	588.241296E+0	82.151838E+0
1920	12.844243E+0	-13.857880E+0	599.542864E+0	78.742071E+0
1921	14.595751E+0	-13.857880E+0	599.542864E+0	78.742071E+0
1922	17.160756E+0	-13.857880E+0	599.542864E+0	78.742071E+0
1923	18.607667E+0	-13.857880E+0	599.542864E+0	78.742071E+0
1924	19.857401E+0	-13.175980E+0	615.803543E+0	77.636071E+0
1925	20.887768E+0	-13.175980E+0	615.803543E+0	77.636071E+0
1926	23.052550E+0	-13.175980E+0	615.803543E+0	77.636071E+0
1927	23.606131E+0	-13.175980E+0	615.803543E+0	77.636071E+0
1928	23.907218E+0	-13.190190E+0	615.464707E+0	76.685593E+0
1929	23.956685E+0	-13.190190E+0	615.464707E+0	76.685593E+0
1930	23.732995E+0	-13.190190E+0	615.464707E+0	76.685593E+0
1931	23.305966E+0	-13.190190E+0	615.464707E+0	76.685593E+0
1932	22.665565E+0	-14.236705E+0	590.509343E+0	78.910265E+0
1933	21.835250E+0	-14.236705E+0	590.509343E+0	78.910265E+0
1934	18.739471E+0	-14.236705E+0	590.509343E+0	78.910265E+0
1935	17.606456E+0	-14.236705E+0	590.509343E+0	78.910265E+0
1936	16.377865E+0	-16.046260E+0	547.358426E+0	79.447478E+0
1937	15.090497E+0	-16.046260E+0	547.358426E+0	79.447478E+0
1938	10.145137E+0	-16.046260E+0	547.358426E+0	79.447478E+0
1939	8.836327E+0	-16.046260E+0	547.358426E+0	79.447478E+0
1940	7.582474E+0	-18.354219E+0	492.322476E+0	79.871962E+0
1941	6.419438E+0	-18.354219E+0	492.322476E+0	79.871962E+0
1942	741.533090E-3	-18.354219E+0	492.322476E+0	79.871962E+0
1943	-166.389833E-3	-18.354219E+0	492.322476E+0	79.871962E+0
1944	-894.459231E-3	-20.746114E+0	435.284967E+0	75.921307E+0
1945	-1.421652E+0	-20.746114E+0	435.284967E+0	75.921307E+0
1946	-6.539967E+0	-20.746114E+0	435.284967E+0	75.921307E+0
1947	-6.647908E+0	-20.746114E+0	435.284967E+0	75.921307E+0
1948	-6.525226E+0	-22.335665E+0	397.380285E+0	77.745543E+0
1949	-6.173968E+0	-22.335665E+0	397.380285E+0	77.745543E+0
1950	-8.797187E+0	-22.335665E+0	397.380285E+0	77.745543E+0
1951	-8.034727E+0	-22.335665E+0	397.380285E+0	77.745543E+0
1952	-7.085106E+0	-22.824146E+0	385.731911E+0	78.596517E+0
1953	-5.972804E+0	-22.824146E+0	385.731911E+0	78.596517E+0
1954	-5.708593E+0	-22.824146E+0	385.731911E+0	78.596517E+0
1955	-4.366336E+0	-22.824146E+0	385.731911E+0	78.596517E+0
1956	-2.958599E+0	-22.824146E+0	385.731911E+0	78.596517E+0
1957	-1.523076E+0	-21.955967E+0	406.434640E+0	78.739317E+0
1958	-98.610872E-3	-21.955967E+0	406.434640E+0	78.739317E+0
1959	4.306744E+0	-21.955967E+0	406.434640E+0	78.739317E+0
1960	4.306744E+0	-21.955967E+0	406.434640E+0	78.739317E+0
1961	5.476375E+0	-20.064896E+0	451.529412E+0	79.479232E+0
1962	6.486982E+0	-20.064896E+0	451.529412E+0	79.479232E+0
1963	11.109015E+0	-20.064896E+0	451.529412E+0	79.479232E+0
1964	11.732854E+0	-17.984808E+0	501.131505E+0	81.763947E+0
1965	16.432252E+0	-17.984808E+0	501.131505E+0	81.763947E+0
1966	16.432252E+0	-17.984808E+0	501.131505E+0	81.763947E+0
1967	16.320844E+0	-17.984808E+0	501.131505E+0	81.763947E+0
1968	15.940467E+0	-17.984808E+0	501.131505E+0	81.763947E+0
1969	15.292698E+0	-16.706165E+0	531.622212E+0	79.792672E+0
1970	14.385199E+0	-16.706165E+0	531.622212E+0	79.792672E+0
1971	15.801579E+0	-16.706165E+0	531.622212E+0	79.792672E+0
1972	14.433550E+0	-16.169696E+0	544.414944E+0	81.170113E+0
1973	12.862550E+0	-16.169696E+0	544.414944E+0	81.170113E+0
1974	10.313595E+0	-16.169696E+0	544.414944E+0	81.170113E+0
1975	10.313595E+0	-16.169696E+0	544.414944E+0	81.170113E+0
1976	8.325110E+0	-16.524272E+0	535.959677E+0	78.667220E+0
1977	6.267534E+0	-16.524272E+0	535.959677E+0	78.667220E+0
1978	3.466834E+0	-16.524272E+0	535.959677E+0	78.667220E+0
1979	1.383752E+0	-16.524272E+0	535.959677E+0	78.667220E+0
1980	-652.696921E-3	-17.526792E+0	512.053412E+0	77.884706E+0
1981	-2.606008E+0	-17.526792E+0	512.053412E+0	77.884706E+0
1982	-6.457295E+0	-17.526792E+0	512.053412E+0	77.884706E+0
1983	-8.155886E+0	-17.526792E+0	512.053412E+0	77.884706E+0
1984	-9.680412E+0	-19.029068E+0	476.229920E+0	78.518788E+0
1985	-11.009235E+0	-19.029068E+0	476.229920E+0	78.518788E+0
1986	-16.054788E+0	-19.029068E+0	476.229920E+0	78.518788E+0
1987	-16.054788E+0	-19.029068E+0	476.229920E+0	78.518788E+0
1988	-16.736686E+0	-19.888847E+0	455.727503E+0	75.751331E+0
1989	-17.192734E+0	-19.888847E+0	455.727503E+0	75.751331E+0
1990	-19.158505E+0	-19.888847E+0	455.727503E+0	75.751331E+0
1991	-19.199624E+0	-19.888847E+0	455.727503E+0	75.751331E+0
1992	-19.054412E+0	-19.211461E+0	471.880551E+0	76.677227E+0
1993	-18.746709E+0	-19.211461E+0	471.880551E+0	76.677227E+0
1994	-16.943226E+0	-19.211461E+0	471.880551E+0	76.677227E+0
1995	-16.392274E+0	-19.211461E+0	471.880551E+0	76.677227E+0
1996	-15.774003E+0	-19.211461E+0	471.880551E+0	76.677227E+0
1997	-15.125394E+0	-17.155089E+0	520.917100E+0	82.162584E+0
1998	-14.484565E+0	-17.155089E+0	520.917100E+0	82.162584E+0
1999	-9.756524E+0	-17.155089E+0	520.917100E+0	82.162584E+0
2000	-9.224858E+0	-14.482573E+0	584.646336E+0	82.013500E+0
